Gender,College,Income,Carrier,Mate,Aircon,Refrig,Parking,Freshmarket,Restaurant,Laundry,Clean_service,Rental_fee,Cost_utilities,Size,Distance,Security,Can_pet,Can_cook,Name,Rental_fee_REAL,Zone
Female,Engineering,Medium,No,0,Medium,Medium,Not,Little,Little,Little,Little,Little,Little,Little,Little,Little,Little,Little,????????,Medium,RNP
Female,Science,Medium,No,1,High,High,Little,Not,Medium,Little,Little,High,High,Medium,Medium,High,Not,Little,?????,Medium,RNP
Female,Engineering,Medium,No,1,Medium,Not,Not,Medium,High,High,Little,High,High,Medium,Medium,Medium,Not,Little,????????,Medium,RNP
Female,Engineering,Medium,Motorcycle,1,Medium,Medium,Not,Not,Little,Little,Little,High,Medium,Medium,Medium,Medium,Little,Little,??????,Medium,RNP
LGBT,Engineering,Medium,Motorcycle,1,High,Little,High,Medium,Medium,High,High,Medium,Medium,High,High,High,Little,High,????? ???????? RNP,Medium,RNP
Female,Engineering,High,Motorcycle,0,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,High,Little,Medium,2SON,Medium,RNP
Female,Engineering,Very_High,Motorcycle,0,High,Little,Medium,Little,Medium,Medium,High,High,High,High,High,Medium,Little,Little,SSY PLACE,Medium,Kekingam
Female,Science,Medium,No,2,Medium,Medium,Medium,Little,Little,Little,Little,High,High,Medium,Little,Medium,Medium,Medium,SIR LIVING,Medium,Nikhom
Male,Science,Medium,No,2,High,High,High,High,High,High,High,High,High,High,High,High,Not,Not,????????,Medium,Kekingam
Female,Agri_tec,Low,Motorcycle,0,Medium,Little,Little,Little,High,High,Medium,High,High,High,High,Medium,Medium,Medium,RNP the waterside,Medium,RNP
Female,Engineering,Low,No,2,Medium,High,Not,Medium,Medium,High,Medium,High,High,Medium,Medium,High,Medium,Medium,AJ PARK,Medium,Kekingam
Male,Engineering,Low,Motorcycle,0,Little,Medium,Little,Medium,Little,Medium,Not,Medium,Medium,Medium,Medium,Little,Not,Medium,AJ PARK,Medium,RNP
Male,IT,Low,Motorcycle,0,High,High,High,Medium,Medium,Medium,Medium,High,High,High,High,High,Not,Not,AJ PARK,Medium,RNP
Male,Nano,Low,Motorcycle,0,Medium,Medium,High,Medium,High,High,Medium,High,High,High,High,High,Not,Little,Aj park,Medium,RNP
Female,Engineering,Medium,Motorcycle,0,High,Medium,Medium,Little,Little,Little,Not,Medium,Little,High,Not,Little,Not,Not,A&J Mansion,Medium,RNP
